,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
260,Olympus Has Fallen,70.0,98.927592,172.878928,FD,en,13.864,2013-03-22,6.2,4086
261,Battle: Los Angeles,70.0,83.552429,213.463976,Sony,en,12.720999999999998,2011-03-08,5.6,2049
262,War Horse,70.0,79.883359,156.815529,BV,en,10.378,2011-12-25,7.2,1849
263,The Monuments Men,70.0,78.03162,158.702748,Sony,en,12.860999999999999,2014-02-07,5.9,2229
264,Storks,70.0,72.679278,183.353431,WB,en,12.100999999999999,2016-09-23,6.5,1308
265,Dracula Untold,70.0,55.99188,220.241723,Uni.,en,29.043000000000003,2014-10-03,6.2,3719
266,The Dilemma,70.0,48.47529,70.546865,Uni.,en,9.517999999999999,2011-01-13,5.3,448
267,Rock of Ages,70.0,38.518613,61.031932,WB (NL),en,11.369000000000002,2012-06-15,6.1,686
268,The Finest Hours,70.0,27.569558,49.252761,BV,en,12.673,2016-01-29,6.4,943
269,Escape Plan,70.0,25.135965,103.735965,LG/S,en,17.88,2013-10-18,6.7,2799
270,Killer Elite,70.0,25.124986,65.409046,ORF,en,15.135,2011-09-23,6.2,1093
271,The Legend of Hercules,70.0,18.848538,58.953319,LG/S,en,13.754000000000001,2014-01-10,4.5,805
272,Blackhat,70.0,8.00598,19.665004,Uni.,en,16.824,2015-01-16,5.3,1165
273,Despicable Me,69.0,251.513985,543.464573,Uni.,en,23.673000000000002,2010-07-09,7.2,10057
274,Dinner for Schmucks,69.0,73.026337,86.796502,P/DW,en,6.632000000000001,2010-07-30,5.6,920
275,Red Sparrow,69.0,46.874505,145.951861,Fox,en,18.117,2018-03-02,6.5,3406
276,The Twilight Saga: Eclipse,68.0,300.531751,706.102828,Sum.,en,20.34,2010-06-23,6.0,4909
277,Ted 2,68.0,81.476385,217.214143,Uni.,en,17.684,2015-06-26,6.1,4227
278,Hall Pass,68.0,45.060734,87.173475,WB (NL),en,9.984,2011-02-25,5.5,1009
279,Downsizing,68.0,24.449754,54.462971,Par.,en,10.682,2017-12-22,5.1,1887
280,Abraham Lincoln: Vampire Hunter,67.5,37.519139,137.48973,Fox,en,12.498,2012-06-22,5.6,2009
281,Need for Speed,66.0,43.568507,194.169619,BV,en,13.722999999999999,2014-03-14,6.1,2389
282,Lincoln,65.0,182.207973,273.346281,BV,en,12.693,2012-11-16,6.8,2261
283,Hotel Transylvania 3: Summer Vacation,65.0,167.500092,527.079962,Sony,en,26.815,2018-06-30,6.8,1673
284,Unbroken,65.0,115.637895,163.527824,Uni.,en,12.354000000000001,2014-12-25,7.4,2240
285,Due Date,65.0,100.539043,211.739043,WB,en,12.445,2010-11-04,6.3,2973
286,The Dictator,65.0,59.650222,180.148897,Par.,en,12.592,2012-05-16,6.0,3042
287,This Means War,65.0,54.760791,156.974557,Fox,en,12.017000000000001,2012-02-17,6.0,2096
288,Resident Evil: Retribution,65.0,42.345531,240.647629,SGem,en,1.325,2012-09-14,5.7,2321
289,"I, Frankenstein",65.0,19.07529,74.57529,LGF,en,12.7,2014-01-24,5.2,1090
